id_prod,date,session_id,client_id
0_1483,2021-04-10 18:37:28.723910,s_18746,c_4450
2_226,2022-02-03 01:55:53.276402,s_159142,c_277
1_374,2021-09-23 15:13:46.938559,s_94290,c_4270
0_2186,2021-10-17 03:27:18.783634,s_105936,c_4597
0_1351,2021-07-17 20:34:25.800563,s_63642,c_1242
0_1085,2021-09-15 05:47:48.215162,s_90139,c_2526
0_1508,2021-08-29 05:39:01.055455,s_82100,c_5799
0_1627,2021-09-19 14:54:52.410362,s_92294,c_1422
0_1469,2022-02-03 07:13:22.559995,s_159252,c_2207
0_1453,2022-02-26 09:03:10.571665,s_171098,c_5433
0_423,2021-10-09 23:50:33.907269,s_102501,c_2225
0_1613,2021-06-11 18:01:45.863768,s_47281,c_220
0_1368,2021-10-02 10:50:43.188179,s_98886,c_857
0_1442,2021-04-24 20:15:14.093786,s_25237,c_2828
0_1207,2021-10-12 23:22:51.290635,s_103927,c_648
1_281,2022-02-10 09:56:32.868016,s_162888,c_7099
1_285,2021-11-15 11:32:23.000489,s_119978,c_611
0_1452,2021-10-15 10:07:12.401758,s_105078,c_6297
0_1147,2022-01-17 06:11:13.607620,s_150997,c_3679
0_1489,2022-01-20 02:28:53.972711,s_152391,c_2434
1_333,2021-12-17 06:22:03.132127,s_135611,c_615
0_336,2021-07-10 04:48:50.708782,s_60294,c_3561
0_2304,2021-11-02 23:57:37.632657,s_113918,c_6152
1_644,2021-05-29 06:55:31.348787,s_41069,c_6781
1_274,2022-02-09 04:57:29.344848,s_162284,c_4306
0_2033,2021-12-26 03:05:52.819661,s_140117,c_1407
0_1315,2021-03-16 22:10:32.911766,s_7307,c_914
2_135,2021-05-26 01:46:59.530702,s_39581,c_5192
0_1572,2021-10-18 10:44:56.742021,s_106579,c_8589
1_333,2021-08-09 20:27:58.329230,s_73560,c_6706
1_348,2021-11-10 22:00:16.549071,s_117707,c_2954
0_1127,2021-10-02 10:41:36.135881,s_98883,c_2041
1_109,2021-12-03 09:19:11.507019,s_128731,c_6819
1_622,2021-12-28 02:56:00.200349,s_141121,c_2220
0_1458,2021-09-14 02:15:50.658467,s_89579,c_316
1_431,2021-11-13 22:38:02.943493,s_119235,c_8177
0_1242,2021-05-04 02:30:32.183411,s_29583,c_445
0_1160,2021-05-29 02:45:43.977214,s_40994,c_8304
0_168,2022-02-19 11:18:18.250190,s_167579,c_628
0_1126,2021-06-15 11:05:26.259435,s_48980,c_813
0_1420,2021-04-18 02:28:31.024271,s_22109,c_8444
0_1390,2022-02-02 22:01:57.944581,s_159048,c_2397
0_1306,2021-05-07 10:02:37.591983,s_31092,c_5528
0_2044,2021-03-28 21:10:47.906384,s_12777,c_5827
0_2105,2021-04-30 21:57:04.036531,s_28127,c_221
0_1082,2022-02-15 12:13:31.349312,s_165521,c_3030
0_2003,2021-07-19 21:18:32.287965,s_64559,c_797
0_1425,2021-09-01 04:54:00.361282,s_83425,c_4555
0_1405,2021-09-03 04:14:08.562834,s_84337,c_6168
0_603,2022-01-24 04:58:05.975530,s_154362,c_8392
1_676,2022-01-08 00:28:20.960558,s_146565,c_7386
